Episode,Reward,Epsilon
0,0.10200543608516455,1.0
1,0.10441894736140966,0.9998
2,0.10537396091967821,0.99960004
3,0.28635176829993725,0.9994001199920001
4,0.44233999494463205,0.9992002399680017
5,0.06277603469789028,0.9990003999200081
6,0.18461772333830595,0.9988005998400241
7,0.5001011369749904,0.9986008397200561
8,0.17065722588449717,0.9984011195521121
9,0.0845529567450285,0.9982014393282017
10,0.17394119873642921,0.9980017990403361
11,0.30943341087549925,0.9978021986805281
12,0.37587804440408945,0.997602638240792
13,0.15688490588217974,0.9974031177131438
14,0.0033116601407527924,0.9972036370896012
15,0.08752018120139837,0.9970041963621834
16,0.030515768565237522,0.996804795522911
17,0.09842887800186872,0.9966054345638065
18,0.14543015137314796,0.9964061134768937
19,0.23374864272773266,0.9962068322541984
20,0.1716410554945469,0.9960075908877476
21,0.208759275265038,0.9958083893695701
22,0.17582670599222183,0.9956092276916961
23,0.48113491013646126,0.9954101058461579
24,1.2371789179742336,0.9952110238249886
25,0.12927151191979647,0.9950119816202236
26,0.968118910677731,0.9948129792238997
27,0.24780394975095987,0.9946140166280549
28,0.5301622720435262,0.9944150938247294
29,0.7218415830284357,0.9942162108059645
30,0.07507696095854044,0.9940173675638033
31,0.16779824811965227,0.9938185640902906
32,-0.004982324317097664,0.9936198003774726
33,0.10031259804964066,0.9934210764173971
34,0.17405332252383232,0.9932223922021136
35,0.40888465009629726,0.9930237477236732
36,0.05932995397597551,0.9928251429741285
37,0.5367080038413405,0.9926265779455337
38,0.011382201686501503,0.9924280526299446
39,0.20558542385697365,0.9922295670194187
40,0.3536054864525795,0.9920311211060148
41,0.07563867140561342,0.9918327148817936
42,0.2318125832825899,0.9916343483388173
43,0.15559970401227474,0.9914360214691496
44,0.020844431594014168,0.9912377342648557
45,0.18314745463430882,0.9910394867180028
46,0.11050468310713768,0.9908412788206592
47,0.2080196924507618,0.9906431105648951
48,0.3932776842266321,0.9904449819427821
49,0.18402449414134026,0.9902468929463936
50,0.2849760493263602,0.9900488435678043
51,0.1043205289170146,0.9898508337990908
52,0.1516040340065956,0.989652863632331
53,0.4142423188313842,0.9894549330596045
54,0.22035485971719027,0.9892570420729926
55,0.3590090638026595,0.989059190664578
56,0.4597384389489889,0.9888613788264451
57,0.0715576158836484,0.9886636065506799
58,0.1615602746605873,0.9884658738293698
59,0.04704561363905668,0.988268180654604
60,0.31204480957239866,0.9880705270184731
61,0.6635862486436963,0.9878729129130694
