Episode,Reward,Epsilon
0,9.832449580542743,0.0
1,9.945594139397144,0.0
2,9.855752602219582,0.0
3,3.9815327236428857,0.0
4,2.0062324749305844,0.0
5,8.120946932584047,0.0
6,9.889796460047364,0.0
7,9.907891646958888,0.0
8,4.458139467984438,0.0
9,9.919563807547092,0.0
10,9.882090737111866,0.0
11,0.8429253697395325,0.0
12,4.328044389374554,0.0
13,9.757393160834908,0.0
14,1.9256544932723045,0.0
15,9.895885162055492,0.0
16,1.4665035651996732,0.0
17,9.929045989178121,0.0
18,4.433557224459946,0.0
19,9.868260931223631,0.0
20,3.2411564560607076,0.0
21,9.882443990558386,0.0
22,9.930256176739931,0.0
23,1.8949292674660683,0.0
24,1.4659909084439278,0.0
25,9.860629895702004,0.0
26,9.893846382386982,0.0
27,3.1409942721948028,0.0
28,4.0761529402807355,0.0
29,3.4756578262895346,0.0
30,9.936421698890626,0.0
31,4.195116181857884,0.0
32,4.041465728543699,0.0
33,0.8534943396225572,0.0
34,6.272882121615112,0.0
35,-0.02180282026529312,0.0
36,9.932354249060154,0.0
37,2.5768286855891347,0.0
38,4.137273247353733,0.0
39,9.920494903810322,0.0
40,9.895713805221021,0.0
41,9.921518292278051,0.0
42,3.1016204487532377,0.0
43,0.4198741689324379,0.0
44,9.848708379082382,0.0
45,2.2606117762625217,0.0
46,9.897486113011837,0.0
47,1.5823039570823312,0.0
48,9.905258593149483,0.0
49,3.2209101542830467,0.0
50,2.41606580093503,0.0
51,5.162385509349406,0.0
52,9.929218880832195,0.0
53,2.172234706580639,0.0
54,3.296409691683948,0.0
55,9.902941340580583,0.0
56,3.1608076691627502,0.0
57,9.88842828758061,0.0
58,9.895100691355765,0.0
59,9.927526316605508,0.0
60,2.0339907174929976,0.0
61,5.357883023098111,0.0
62,9.854981393553317,0.0
63,9.927701267413795,0.0
64,1.212580131366849,0.0
65,9.946867633610964,0.0
66,9.897235612384975,0.0
67,0.19188937824219465,0.0
68,2.0342683885246515,0.0
69,0.43888078164309263,0.0
70,2.2937352946028113,0.0
71,6.528099801391363,0.0
72,9.802020490169525,0.0
73,6.199012995697558,0.0
74,9.880762610584497,0.0
75,2.338041687384248,0.0
76,9.836402420885861,0.0
77,0.14828407298773527,0.0
78,1.7736134203150868,0.0
79,3.500167422927916,0.0
80,9.927046969532967,0.0
81,9.924139944836497,0.0
82,0.9086271114647388,0.0
83,9.89973325561732,0.0
84,0.23133328557014465,0.0
85,9.875010411255062,0.0
86,9.835553660057485,0.0
87,1.62820640578866,0.0
88,0.544465908780694,0.0
89,9.936878368258476,0.0
90,9.882727538235486,0.0
91,3.4657597141340375,0.0
92,0.390757174231112,0.0
93,9.772082784213126,0.0
94,9.89918967988342,0.0
95,1.9861496612429619,0.0
96,9.925156029872596,0.0
97,9.923067552037537,0.0
98,9.902749562636018,0.0
99,4.722377724945545,0.0
