Episode,Reward,Epsilon
0,0.8656800957396626,0.01
1,1.1550115076825023,0.01
2,0.38507010228931904,0.01
3,0.8122748425230384,0.01
4,1.1901953294873238,0.01
5,0.7250438127666712,0.01
6,0.9089592657983303,0.01
7,1.258449767716229,0.01
8,0.15478111617267132,0.01
9,0.5268755285069346,0.01
10,0.1218606922775507,0.01
11,0.4305449668318033,0.01
12,0.7807810679078102,0.01
13,1.5922716138884425,0.01
14,0.028074714355170727,0.01
15,0.09821420162916183,0.01
16,0.1569967158138752,0.01
17,0.8629306480288506,0.01
18,0.39794179797172546,0.01
19,-0.021782733500003815,0.01
20,0.9035800592973828,0.01
21,0.5258905803784728,0.01
22,0.7260085036978126,0.01
23,0.25777410715818405,0.01
24,0.28574039228260517,0.01
25,1.7083303006365895,0.01
26,0.475110306404531,0.01
27,0.43677904456853867,0.01
28,0.6936285020783544,0.01
29,1.0529173202812672,0.01
30,1.3870333340018988,0.01
31,0.10122050065547228,0.01
32,0.9833741942420602,0.01
33,0.6691633639857173,0.01
34,0.3668526243418455,0.01
35,0.20682216994464397,0.01
36,2.163102134130895,0.01
37,0.2223212504759431,0.01
38,0.2893738495185971,0.01
39,0.588913319632411,0.01
40,0.5645439010113478,0.01
41,0.627067900262773,0.01
42,0.7073682369664311,0.01
43,0.10391238238662481,0.01
44,1.4567551612854004,0.01
45,1.333540285937488,0.01
46,0.6061100196093321,0.01
47,1.3000709963962436,0.01
48,0.15930312033742666,0.01
49,0.17784566059708595,0.01
50,0.43290739227086306,0.01
51,0.28411076962947845,0.01
52,0.7095239320769906,0.01
53,0.41439927369356155,0.01
54,0.8127122987061739,0.01
55,0.302440351806581,0.01
56,0.07573065720498562,0.01
57,1.1423720195889473,0.01
58,0.15587562881410122,0.01
59,1.0621475605294108,0.01
60,0.7862430773675442,0.01
61,0.14570209197700024,0.01
62,0.2233765758574009,0.01
63,0.17414556443691254,0.01
64,0.19295362289994955,0.01
65,0.9036803804337978,0.01
66,0.5688600381836295,0.01
67,0.3610772639513016,0.01
68,0.24948771204799414,0.01
69,1.1472215903922915,0.01
70,0.19720414746552706,0.01
71,0.07272748649120331,0.01
72,0.16405019536614418,0.01
73,0.9225792437791824,0.01
74,0.6370604997500777,0.01
75,0.23560562916100025,0.01
76,0.7261627521365881,0.01
77,0.15724082477390766,0.01
78,0.36622426845133305,0.01
79,0.4317651027813554,0.01
80,1.556353060528636,0.01
81,0.8607364539057016,0.01
82,-0.02176985889673233,0.01
83,0.476092666387558,0.01
84,0.15032486710697412,0.01
85,0.5734861558303237,0.01
86,0.838141368702054,0.01
87,0.355945797637105,0.01
88,0.6140304272994399,0.01
89,0.21299984492361546,0.01
90,0.4854804165661335,0.01
91,0.63166543841362,0.01
92,0.36825807113200426,0.01
93,0.45748195331543684,0.01
94,0.28732522390782833,0.01
95,0.2022836534306407,0.01
96,0.02012202236801386,0.01
97,1.2811458306387067,0.01
98,0.21079938858747482,0.01
99,0.18511569779366255,0.01
