Episode,Reward,Epsilon
0,0.10124191921204329,0.01
1,0.439555237069726,0.01
2,-0.013544656336307526,0.01
3,0.37199428398162127,0.01
4,0.11712018959224224,0.01
5,0.1783915050327778,0.01
6,0.243972591124475,0.01
7,0.2897938461974263,0.01
8,0.1265694247558713,0.01
9,0.1596634853631258,0.01
10,0.09371756389737129,0.01
11,0.1677432218566537,0.01
12,-0.01357483770698309,0.01
13,0.08706742990761995,0.01
14,1.1780919460579753,0.01
15,0.14505119528621435,0.01
16,-0.021772803738713264,0.01
17,0.1884549716487527,0.01
18,0.18672093283385038,0.01
19,0.08007014635950327,0.01
20,0.029847009107470512,0.01
21,0.1854630820453167,0.01
22,0.17934254743158817,0.01
23,0.09533015824854374,0.01
24,0.10456731077283621,0.01
25,0.14129513781517744,0.01
26,0.17169135715812445,0.01
27,0.5253364155068994,0.01
28,0.3370637260377407,0.01
29,0.1706697614863515,0.01
30,0.21591402869671583,0.01
31,-0.0051885806024074554,0.01
32,0.040244060568511486,0.01
33,0.18795039784163237,0.01
34,0.127693266607821,0.01
35,0.33471853099763393,0.01
36,0.06225569173693657,0.01
37,0.05508041474968195,0.01
38,0.05548970773816109,0.01
39,0.39399019721895456,0.01
40,0.0531297754496336,0.01
41,0.19051808677613735,0.01
42,0.15138300880789757,0.01
43,0.23432612046599388,0.01
44,0.17086224164813757,0.01
45,0.2638076962903142,0.01
46,0.20599317271262407,0.01
47,0.11336854100227356,0.01
48,0.12175762187689543,0.01
49,0.2646138072013855,0.01
50,0.07343005295842886,0.01
51,0.06290200259536505,0.01
52,0.22910801228135824,0.01
53,0.11259311158210039,0.01
54,0.21851656027138233,0.01
55,0.34668147936463356,0.01
56,0.17847106140106916,0.01
57,0.14128490909934044,0.01
58,0.1899805972352624,0.01
59,0.47313119005411863,0.01
60,0.22519476339221,0.01
61,0.02898736670613289,0.01
62,0.14394348580390215,0.01
63,0.2331203566864133,0.01
64,0.2338412730023265,0.01
65,0.31562779750674963,0.01
66,0.30709853023290634,0.01
67,0.23734316229820251,0.01
68,0.09724544640630484,0.01
69,0.1092579560354352,0.01
70,-0.005196478217840195,0.01
71,0.22732368018478155,0.01
72,0.24470880907028913,0.01
73,0.13265873305499554,0.01
74,0.09339113440364599,0.01
75,0.09348946623504162,0.01
76,0.510086078196764,0.01
77,0.2523548509925604,0.01
78,0.12109044380486012,0.01
79,0.1510188551619649,0.01
80,0.12577179726213217,0.01
81,0.07320300862193108,0.01
82,0.2579693775624037,0.01
83,0.09294280968606472,0.01
84,0.3231508070603013,0.01
85,0.2136142523959279,0.01
86,0.10138036403805017,0.01
87,0.06208597868680954,0.01
88,0.020316963084042072,0.01
89,0.1128643723204732,0.01
90,0.17319949343800545,0.01
91,0.25482743326574564,0.01
92,0.2386662606149912,0.01
93,0.17052047979086637,0.01
94,0.08226606342941523,0.01
95,0.1847676755860448,0.01
96,0.31795970257371664,0.01
97,0.2217813804745674,0.01
98,0.42058947775512934,0.01
99,0.12259934097528458,0.01
