Episode,Reward,Epsilon
0,0.08479672484099865,0.01
1,0.8541937870904803,0.01
2,0.7323529422283173,0.01
3,1.0808360921218991,0.01
4,1.220720405690372,0.01
5,0.0651936111971736,0.01
6,0.6361206071451306,0.01
7,0.13905178662389517,0.01
8,1.1820836858823895,0.01
9,0.9742731833830476,0.01
10,0.7709356639534235,0.01
11,0.10433173552155495,0.01
12,1.2425758112221956,0.01
13,1.2283787718042731,0.01
14,1.875034892000258,0.01
15,0.12846223078668118,0.01
16,1.4302816139534116,0.01
17,0.4549927292391658,0.01
18,0.2882057214155793,0.01
19,0.2411411926150322,0.01
20,0.2911129854619503,0.01
21,0.14476769883185625,0.01
22,0.16559793148189783,0.01
23,0.7118742018938065,0.01
24,0.6953055951744318,0.01
25,1.3913050098344684,0.01
26,0.6371258599683642,0.01
27,0.1885986840352416,0.01
28,0.14243086893111467,0.01
29,0.2015266939997673,0.01
30,1.281860570423305,0.01
31,0.9746439857408404,0.01
32,0.313328062184155,0.01
33,0.22746599558740854,0.01
34,0.41729448456317186,0.01
35,1.3785784365609288,0.01
36,0.06383993383497,0.01
37,0.936423821374774,0.01
38,2.4531469540670514,0.01
39,1.9950266098603606,0.01
40,0.13058040291070938,0.01
41,0.34675432462245226,0.01
42,0.22921254113316536,0.01
43,0.4469271991401911,0.01
44,0.47467891685664654,0.01
45,0.13098130654543638,0.01
46,0.5397673705592752,0.01
47,0.11080388072878122,0.01
48,0.20009982213377953,0.01
49,0.7852004207670689,0.01
50,0.8960266355425119,0.01
51,0.14744046423584223,0.01
52,0.15085720643401146,0.01
53,0.2262066900730133,0.01
54,0.23223465122282505,0.01
55,1.4901461862027645,0.01
56,0.21051379572600126,0.01
57,0.7484149169176817,0.01
58,0.3092744890600443,0.01
59,0.36835612915456295,0.01
60,0.6291898740455508,0.01
61,0.2749532740563154,0.01
62,1.1914324210956693,0.01
63,0.11126385349780321,0.01
64,0.3165738843381405,0.01
65,0.7470910046249628,0.01
66,0.07214864064007998,0.01
67,1.6874395376071334,0.01
68,0.1390422387048602,0.01
69,0.12010714877396822,0.01
70,1.7939068330451846,0.01
71,0.13548532128334045,0.01
72,0.5605764547362924,0.01
73,0.4613879434764385,0.01
74,0.46195192355662584,0.01
75,0.6525663239881396,0.01
76,1.4872019598260522,0.01
77,0.6650745514780283,0.01
78,0.7907566437497735,0.01
79,0.14773733541369438,0.01
80,0.23120240960270166,0.01
81,0.1122000552713871,0.01
82,0.6955270068719983,0.01
83,0.23279868811368942,0.01
84,0.8041626745834947,0.01
85,0.6245485004037619,0.01
86,0.17620316799730062,0.01
87,0.596818252466619,0.01
88,0.7314380090683699,0.01
89,0.10181813687086105,0.01
90,1.1899379659444094,0.01
91,0.22406593337655067,0.01
92,1.1225459845736623,0.01
93,0.9422890832647681,0.01
94,1.0434404974803329,0.01
95,0.1292396355420351,0.01
96,0.14715617429465055,0.01
97,0.704446466639638,0.01
98,0.9291864102706313,0.01
99,0.2716996967792511,0.01
